# $Id: widgets.txt,v 1.2 2003/06/26 11:51:08 rda Exp rda $
# format: full.widget.name	WidgetClassName
# N.b., it is conventional to use the application class name "Xpp"
# not the application name "xpp" in resource files
# Use a "*" as a wildcard to match zero or more components of a resource name
# Use a "?" as a wildcard for exactly one component of a resource name.
# E.g.,
#	 "Xpp*copy.foreground: red" makes the copy item in all the edit menus red
# 	"Xpp*journal*copy.foreground: red" makes the copy item in the journal popup edit menu only red
#	"Xpp*popup-edit-menu.copy.foreground: red" makes the copy item in all the popup edit menus red
# Motif separator and sash widgets are not listed.
xpp	ApplicationShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charFE	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Palette.form.charFF	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace	TransientShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned	XmPanedWindow
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.becomes-cursor	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.go-to-line	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.line-number	XmText
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.line-number.popup_popup-edit-menu	XmMenuShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.line-number.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.line-number.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.line-number.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.line-number.popup_popup-edit-menu.popup-edit-menu.cut	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.line-number-form.line-number.popup_popup-edit-menu.popup-edit-menu.paste	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace	XmText
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace-form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace-form.becomes-selection	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace-form.clear	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace-form.replace	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace-form.replace-all	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace-form.replace-and-backwards	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace-form.replace-and-forwards	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace.popup_popup-edit-menu	XmMenuShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace.popup_popup-edit-menu.popup-edit-menu.cut	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.replace.popup_popup-edit-menu.popup-edit-menu.paste	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.Sash	XmSash
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-form.backwards	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-form.backwards-and-replace	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-form.becomes-selection	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-form.clear	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-form.forwards	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-form.forwards-and-replace	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-replace-action-form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-replace-action-form.dismiss	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-replace-action-form.help	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-replace-action-form.options	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-text	XmText
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-text.popup_popup-edit-menu	XmMenuShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-text.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-text.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-text.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-text.popup_popup-edit-menu.popup-edit-menu.cut	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.search-text.popup_popup-edit-menu.popup-edit-menu.paste	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Search-and-Replace.search-replace-paned.Separator	XmSeparatorGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates	XmDialogShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates.template-pane	XmPanedWindow
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates.template-pane.help-form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates.template-pane.help-form.Dismiss	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates.template-pane.help-form.Help	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates.template-pane.Sash	XmSash
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates.template-pane.Separator	XmSeparatorGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates.template-pane.template_form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Templates.template-pane.template_form.template_btn	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.yes_no_popup	XmDialogShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.yes_no_popup.yes_no	XmMessageBox
xpp.frame.mainpanes.scriptpanes.scriptSW.script.yes_no_popup.yes_no.Cancel	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.yes_no_popup.yes_no.Help	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.yes_no_popup.yes_no.Message	XmLabelGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.yes_no_popup.yes_no.OK	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.yes_no_popup.yes_no.Separator	XmSeparatorGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.yes_no_popup.yes_no.Symbol	XmLabelGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.VertScrollBar	XmScrollBar
xpp.frame.mainpanes.scriptpanes.Separator	XmSeparatorGadget
xpp.frame.mainpanes.Separator	XmSeparatorGadget
xpp.frame.menubar	XmRowColumn
xpp.frame.menubar.command	XmCascadeButtonGadget
xpp.frame.menubar.edit	XmCascadeButtonGadget
xpp.frame.menubar.file	XmCascadeButtonGadget
xpp.frame.menubar.help	XmCascadeButtonGadget
xpp.frame.menubar.popup_file	XmMenuShell
xpp.frame.menubar.popup_file.command	XmRowColumn
xpp.frame.menubar.popup_file.command.""	XmSeparatorGadget
xpp.frame.menubar.popup_file.command.abandon	XmPushButtonGadget
xpp.frame.menubar.popup_file.command.execute-selection	XmPushButtonGadget
xpp.frame.menubar.popup_file.command.interrupt	XmPushButtonGadget
xpp.frame.menubar.popup_file.command.kill	XmPushButtonGadget
xpp.frame.menubar.popup_file.command.restart	XmPushButtonGadget
xpp.frame.menubar.popup_file.command.return	XmPushButtonGadget
xpp.frame.menubar.popup_file.command.semicolon	XmPushButtonGadget
xpp.frame.menubar.popup_file.edit	XmRowColumn
xpp.frame.menubar.popup_file.edit.clear	XmPushButtonGadget
xpp.frame.menubar.popup_file.edit.copy	XmPushButtonGadget
xpp.frame.menubar.popup_file.edit.cut	XmPushButtonGadget
xpp.frame.menubar.popup_file.edit.paste	XmPushButtonGadget
xpp.frame.menubar.popup_file.edit.redo	XmPushButtonGadget
xpp.frame.menubar.popup_file.edit.undo	XmPushButtonGadget
xpp.frame.menubar.popup_file.file	XmRowColumn
xpp.frame.menubar.popup_file.file.""	XmSeparatorGadget
xpp.frame.menubar.popup_file.file.empty-file	XmPushButtonGadget
xpp.frame.menubar.popup_file.file.include	XmPushButtonGadget
xpp.frame.menubar.popup_file.file.open	XmPushButtonGadget
xpp.frame.menubar.popup_file.file.quit	XmPushButtonGadget
xpp.frame.menubar.popup_file.file.reopen	XmCascadeButtonGadget
xpp.frame.menubar.popup_file.file.revert	XmPushButtonGadget
xpp.frame.menubar.popup_file.file.save	XmPushButtonGadget
xpp.frame.menubar.popup_file.file.save-as	XmPushButtonGadget
xpp.frame.menubar.popup_file.file.save-selection-as	XmPushButtonGadget
xpp.frame.menubar.popup_file.help	XmRowColumn
xpp.frame.menubar.popup_file.help.about-xpp	XmPushButtonGadget
xpp.frame.menubar.popup_file.help.command-menu	XmPushButtonGadget
xpp.frame.menubar.popup_file.help.edit-menu	XmPushButtonGadget
xpp.frame.menubar.popup_file.help.file-menu	XmPushButtonGadget
xpp.frame.menubar.popup_file.help.file-name-bar	XmPushButtonGadget
xpp.frame.menubar.popup_file.help.tools-menu	XmPushButtonGadget
xpp.frame.menubar.popup_file.help.tutorial	XmPushButtonGadget
xpp.frame.menubar.popup_file.help.using-help	XmPushButtonGadget
xpp.frame.menubar.popup_file.tools	XmRowColumn
xpp.frame.menubar.popup_file.tools.command-line	XmPushButtonGadget
xpp.frame.menubar.popup_file.tools.new-command-session	XmPushButtonGadget
xpp.frame.menubar.popup_file.tools.new-editor-session	XmPushButtonGadget
xpp.frame.menubar.popup_file.tools.options	XmPushButtonGadget
xpp.frame.menubar.popup_file.tools.palette	XmPushButtonGadget
xpp.frame.menubar.popup_file.tools.search-and-replace	XmPushButtonGadget
xpp.frame.menubar.popup_file.tools.templates	XmPushButtonGadget
xpp.frame.menubar.tools	XmCascadeButtonGadget
xpp.frame.Separator1	XmSeparatorGadget
xpp.frame.Separator2	XmSeparatorGadget
xpp.frame.Separator3	XmSeparatorGadget
xpp.xpp-Command-Line	TransientShell
xpp.xpp-Command-Line.command-paned	XmPanedWindow
xpp.xpp-Command-Line.command-paned.command_line_form	XmForm
xpp.xpp-Command-Line.command-paned.command_line_form.Add	XmPushButton
xpp.xpp-Command-Line.command-paned.command_line_form.Delete	XmPushButton
xpp.xpp-Command-Line.command-paned.command_line_form.Dismiss	XmPushButton
xpp.xpp-Command-Line.command-paned.command_line_form.Execute	XmPushButton
xpp.xpp-Command-Line.command-paned.command_line_form.Help	XmPushButton
xpp.xpp-Command-Line.command-paned.command-listSW	XmScrolledWindow
xpp.xpp-Command-Line.command-paned.command-listSW.command-list	XmList
xpp.xpp-Command-Line.command-paned.command-listSW.HorScrollBar	XmScrollBar
xpp.xpp-Command-Line.command-paned.command-listSW.VertScrollBar	XmScrollBar
xpp.xpp-Command-Line.command-paned.command-text	XmText
xpp.xpp-Command-Line.command-paned.command-text.popup_popup-edit-menu	XmMenuShell
xpp.xpp-Command-Line.command-paned.command-text.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.xpp-Command-Line.command-paned.command-text.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.xpp-Command-Line.command-paned.command-text.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.xpp-Command-Line.command-paned.command-text.popup_popup-edit-menu.popup-edit-menu.cut	XmPushButtonGadget
xpp.xpp-Command-Line.command-paned.command-text.popup_popup-edit-menu.popup-edit-menu.paste	XmPushButtonGadget
xpp.xpp-Command-Line.command-paned.Sash	XmSash
xpp.xpp-Command-Line.command-paned.Separator	XmSeparatorGadget
xpp.xpp-Help	XmDialogShell
xpp.xpp-Help.pane	XmPanedWindow
xpp.xpp-Help.pane.form	XmForm
xpp.xpp-Help.pane.form.Dismiss	XmPushButtonGadget
xpp.xpp-Help.pane.help-textSW	XmScrolledWindow
xpp.xpp-Help.pane.help-textSW.help-text	XmText
xpp.xpp-Help.pane.help-textSW.help-text.popup_popup-edit-menu	XmMenuShell
xpp.xpp-Help.pane.help-textSW.help-text.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.xpp-Help.pane.help-textSW.help-text.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.xpp-Help.pane.help-textSW.help-text.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.xpp-Help.pane.help-textSW.VertScrollBar	XmScrollBar
xpp.xpp-Help.pane.Sash	XmSash
xpp.xpp-Help.pane.Separator	XmSeparatorGadget
xpp.xpp-Start-up-Options_popup	XmDialogShell
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options	XmFileSelectionBox
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.Apply	XmPushButtonGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.Cancel	XmPushButtonGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.command-line-form	XmForm
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.command-line-form.command-line-label:	XmLabel
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.command-line-form.startup-command-line	XmTextField
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.Dir	XmLabelGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.DirListSW	XmScrolledWindow
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.DirListSW.DirList	XmList
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.DirListSW.HorScrollBar	XmScrollBar
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.DirListSW.VertScrollBar	XmScrollBar
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.empty-file	XmPushButton
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.FilterLabel	XmLabelGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.FilterText	XmTextField
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.Help	XmPushButtonGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.Items	XmLabelGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.ItemsListSW	XmScrolledWindow
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.ItemsListSW.HorScrollBar	XmScrollBar
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.ItemsListSW.ItemsList	XmList
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.ItemsListSW.VertScrollBar	XmScrollBar
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.OK	XmPushButtonGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.Selection	XmLabelGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.Separator	XmSeparatorGadget
xpp.xpp-Start-up-Options_popup.xpp-Start-up-Options.Text	XmTextField
xpp.yes_no_popup	XmDialogShell
xpp.yes_no_popup.yes_no	XmMessageBox
xpp.yes_no_popup.yes_no.Cancel	XmPushButtonGadget
xpp.yes_no_popup.yes_no.Help	XmPushButtonGadget
xpp.yes_no_popup.yes_no.Message	XmLabelGadget
xpp.yes_no_popup.yes_no.OK	XmPushButtonGadget
xpp.yes_no_popup.yes_no.Separator	XmSeparatorGadget
xpp.yes_no_popup.yes_no.Symbol	XmLabelGadget
