# $Id: widgets.txt,v 1.2 2003/06/26 11:51:08 rda Exp rda $
# format: full.widget.name	WidgetClassName
# N.b., it is conventional to use the application class name "Xpp"
# not the application name "xpp" in resource files
# Use a "*" as a wildcard to match zero or more components of a resource name
# Use a "?" as a wildcard for exactly one component of a resource name.
# E.g.,
#	 "Xpp*copy.foreground: red" makes the copy item in all the edit menus red
# 	"Xpp*journal*copy.foreground: red" makes the copy item in the journal popup edit menu only red
#	"Xpp*popup-edit-menu.copy.foreground: red" makes the copy item in all the popup edit menus red
# Motif separator and sash widgets are not listed.
xpp	ApplicationShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.add-new-line-frame.add-new-line-radio-buttons	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.add-new-line-frame.add-new-line-radio-buttons.button_0	XmToggleButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.add-new-line-frame.add-new-line-radio-buttons.button_1	XmToggleButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.add-new-line-frame.add-new-line-radio-buttons.button_2	XmToggleButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame	XmFrame
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form.command-line	XmText
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form.command-line-label	XmLabel
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form.command-line.popup_popup-edit-menu	XmMenuShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form.command-line.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form.command-line.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form.command-line.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form.command-line.popup_popup-edit-menu.popup-edit-menu.cut	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.command-form.command-line.popup_popup-edit-menu.popup-edit-menu.paste	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form.journal-max	XmText
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form.journal-max-label	XmLabel
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form.journal-max.popup_popup-edit-menu	XmMenuShell
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form.journal-max.popup_popup-edit-menu.popup-edit-menu	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form.journal-max.popup_popup-edit-menu.popup-edit-menu.clear	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form.journal-max.popup_popup-edit-menu.popup-edit-menu.copy	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form.journal-max.popup_popup-edit-menu.popup-edit-menu.cut	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.app-frame.app-row-col.journal-form.journal-max.popup_popup-edit-menu.popup-edit-menu.paste	XmPushButtonGadget
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.button-frame	XmFrame
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.button-frame.app-row-col	XmForm
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.button-frame.app-row-col.Apply	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.button-frame.app-row-col.Current	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.button-frame.app-row-col.Dismiss	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.button-frame.app-row-col.Help	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.button-frame.app-row-col.Original	XmPushButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.edit-frame	XmFrame
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.edit-frame.edit-row-col	XmRowColumn
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.edit-frame.edit-row-col.delete-backups	XmToggleButton
xpp.frame.mainpanes.scriptpanes.scriptSW.script.xpp-Options.shell-row-col.edit-frame.edit-row-col.read-only	XmToggleButton
